2012-03-09 18:57:53 Notice: Notice (8): Undefined index:  before in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/view/helpers/form.php, line 862]
2012-03-10 16:07:00 Notice: Notice (8): Undefined variable: errorMessages in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 104]
2012-03-10 16:07:00 Notice: Notice (8): Undefined variable: errorMessages in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 113]
2012-03-10 16:07:00 Notice: Notice (8): Undefined variable: errorMessages in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 129]
2012-03-10 16:07:00 Notice: Notice (8): Undefined variable: errorMessages in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 137]
2012-03-10 16:07:00 Notice: Notice (8): Undefined variable: errorMessages in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 157]
2012-03-10 16:07:00 Notice: Notice (8): Undefined variable: errorMessages in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 209]
2012-03-10 16:11:31 Notice: Notice (8): Undefined index:  start_date in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 82]
2012-03-10 16:11:31 Notice: Notice (8): Undefined index:  birth_date in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 93]
2012-03-10 16:11:31 Notice: Notice (8): Undefined index:  university in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 104]
2012-03-10 16:11:31 Notice: Notice (8): Undefined index:  department in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 113]
2012-03-10 16:11:31 Notice: Notice (8): Undefined index:  fee in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 129]
2012-03-10 16:11:31 Notice: Notice (8): Undefined index:  prefecture in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 137]
2012-03-10 16:11:31 Notice: Notice (8): Undefined index:  subjects in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 157]
2012-03-10 16:11:31 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 209]
2012-03-10 16:13:07 Notice: Notice (8): Undefined index:  birth_date in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 93]
2012-03-10 16:13:07 Notice: Notice (8): Undefined index:  university in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 104]
2012-03-10 16:13:07 Notice: Notice (8): Undefined index:  department in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 113]
2012-03-10 16:13:07 Notice: Notice (8): Undefined index:  fee in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 129]
2012-03-10 16:13:07 Notice: Notice (8): Undefined index:  prefecture in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 137]
2012-03-10 16:13:07 Notice: Notice (8): Undefined index:  subjects in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 157]
2012-03-10 16:13:07 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 209]
2012-03-10 21:21:19 Notice: Notice (8): Undefined variable: facebook in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/tops_controller.php, line 8]
2012-03-10 21:22:29 Notice: Notice (8): Undefined variable: facebook in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/tops_controller.php, line 8]
2012-03-10 21:30:58 Notice: Notice (8): Undefined property:  TopsController::$Facebook in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/tops_controller.php, line 8]
2012-03-10 21:49:15 Notice: Notice (8): Undefined variable: facebook in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/tops_controller.php, line 10]
2012-03-10 22:55:24 Notice: Notice (8): Undefined variable: canvasUrl in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/app_controller.php, line 48]
2012-03-10 22:55:29 Notice: Notice (8): Undefined variable: canvasUrl in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/app_controller.php, line 48]
2012-03-10 22:56:04 Notice: Notice (8): Undefined variable: canvasUrl in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/app_controller.php, line 48]
2012-03-10 23:40:02 Notice: Notice (8): Undefined variable: me in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 51]
2012-03-11 13:49:57 Notice: Notice (8): Undefined property:  Facebook::$me in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 7]
2012-03-11 13:49:57 Notice: Notice (8): Undefined property:  Facebook::$me in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 8]
